,team,color,alt_color,color_name,alt_color_name,latitude,longitude,elevation,capacity,year_constructed,grass,dome
0,Air Force,#004a7b,#ffffff,Blue,White,38.9969701,-104.8436165,2024.875732,46692,1962,False,False
1,Akron,#00285e,#84754e,Blue,Yellow,41.0725534,-81.5083408,321.2875061,30000,2009,False,False
2,Alabama,#690014,#f1f2f3,Red,White,33.2082752,-87.5503836,70.05136108,101821,1929,True,False
3,Appalachian State,#000000,#ffcd00,Black,Yellow,36.2114267,-81.6854278,991.3414307,30000,1962,False,False
4,Arizona,#002449,#00205b,Blue,Red,32.2288054,-110.9488677,742.1530151,50782,1928,False,False
5,Arizona State,#942139,#f1f2f3,Red,Yellow,33.4264471,-111.9325005,360.1569519,65870,1958,False,False
6,Arkansas,#9c1831,#000000,Red,White,36.0680662,-94.1789534,403.7972412,80000,1938,False,False
7,Arkansas State,#e81018,#000000,Red,Black,35.8488977,-90.6677436,89.52690887,30382,1974,False,False
8,Army,#ce9c00,#231f20,Black,Yellow,41.3874924,-73.9640891,99.21277618,38000,1924,False,False
9,Auburn,#03244d,#f1f2f3,Blue,Orange,32.6025532,-85.4897479,201.1737976,87451,1939,True,False
10,Ball State,#DA0000,#ffffff,Red,White,40.2159422,-85.4161148,285.481781,22500,1967,False,False
11,Baylor,#004834,#ffb81c,Green,Yellow,31.5582015,-97.1156702,117.0538101,45140,2014,False,False
12,Boise State,#09347A,#d8d9da,Blue,Orange,43.6028839,-116.1958882,823.2221069,36387,1970,False,False
13,Boston College,#88001a,#a39161,Red,Yellow,42.335104,-71.1664413,39.82634354,44500,1957,False,False
14,Bowling Green,#2b1000,#492000,Brown,Orange,41.3780114,-83.6225,205.9057465,24000,1966,False,False
15,Buffalo,#041A9B,#ebebeb,Blue,White,42.9991334,-78.7775113,181.5759735,30270,1993,False,False
16,BYU,#001E4C,#ffffff,Blue,Gray,40.2575347,-111.6545247,1412.097046,63470,1964,False,False
17,California,#031522,#ffc423,Blue,Yellow,37.8710434,-122.2507729,125.3108063,62467,1923,False,False
18,Central Michigan,#6a0032,#ffffff,Red,Yellow,43.5777313,-84.7709904,240.9007721,30255,1972,False,False
19,Charlotte,#cfab7a,#ffffff,Green,White,35.3105033,-80.7401194,190.365509,15300,2013,False,False
20,Cincinnati,#000000,#717073,Red,White,39.1312495,-84.5161913,230.0660553,40000,1915,False,False
21,Clemson,#F66733,#522d80,Orange,Purple,34.6787737,-82.8432428,205.6452179,81500,1942,False,False
22,Coastal Carolina,#007073,#876447,Blue,Brown,33.7928506,-79.0166946,13.74894905,21000,2003,False,False
23,Colorado,#d1c57e,#ffd200,Gray,Yellow,40.0094746,-105.266905,1634.041138,50183,1924,False,False
24,Colorado State,#004537,#ffc425,Green,Yellow,40.5621183,-105.1416248,1574.920898,34400,1968,False,False
25,Connecticut,#001d40,#f1f2f3,Blue,White,41.7595675,-72.6187728,6.515614986,40000,2003,False,False
